model,N,effect,replicate,lambda_emp,lambda_thr97,lambda_p,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
mixture,100,0.01,63,1.0575889491621069,1.0,,1,2.0112905017633813,1.5477320613535541,,1
mixture,100,0.01,64,1.0166883387099523,1.0,,1,1.9936964167096436,1.5477320613535541,,1
mixture,100,0.01,65,1.0187734046231054,1.0,,1,1.956052558077939,1.5477320613535541,,1
mixture,100,0.01,66,1.043113038121761,1.0,,1,1.9721044513476969,1.5477320613535541,,1
mixture,100,0.01,67,1.0091975563497624,1.0,,1,1.9497965420579215,1.5477320613535541,,1
mixture,100,0.01,68,1.0493818491670832,1.0,,1,2.000851278980824,1.5477320613535541,,1
mixture,100,0.01,69,1.027132978885725,1.0,,1,2.0165249341065166,1.5477320613535541,,1
mixture,100,0.01,70,1.0161897197886942,1.0,,1,1.9832036846639371,1.5477320613535541,,1
mixture,100,0.01,71,1.0424233370261122,1.0,,1,1.99271842309637,1.5477320613535541,,1
mixture,100,0.01,72,1.0270782817565955,1.0,,1,1.9307066137665592,1.5477320613535541,,1
mixture,100,0.01,73,1.0450912667554682,1.0,,1,2.011213652447469,1.5477320613535541,,1
mixture,100,0.01,74,1.0411318483457235,1.0,,1,1.9887229560767055,1.5477320613535541,,1
mixture,100,0.01,75,1.070547402236836,1.0,,1,2.0082036161418015,1.5477320613535541,,1
mixture,100,0.01,76,1.0166050753129758,1.0,,1,1.9579219676012045,1.5477320613535541,,1
mixture,100,0.01,77,1.0297147325322682,1.0,,1,1.9916286761944368,1.5477320613535541,,1
mixture,100,0.01,78,1.0285647422361686,1.0,,1,1.9797389450813003,1.5477320613535541,,1
mixture,100,0.01,79,1.0212751800385282,1.0,,1,1.9878370144705735,1.5477320613535541,,1
mixture,100,0.01,80,1.039102220546479,1.0,,1,2.000559131941577,1.5477320613535541,,1
